fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Una diputada bonaerense y un dirigente platense de la Izquierda detenidos por el ejército de Israel: piquete en 7 y 50,piquete,1
2026-04-30,2026-W18,provincial,5 DÍAS,Buenos Aires,AMBA,Quilmes,https://www.diario5dias.com.ar,"La Multisectorial de Quilmes convocó a movilizarse por el Día del Trabajador y denunció despidos, ajuste y represión",represión,1
2026-04-30,2026-W18,provincial,5 DÍAS,Buenos Aires,AMBA,Quilmes,https://www.diario5dias.com.ar,"La Multisectorial de Quilmes convocó a movilizarse por el Día del Trabajador y denunció despidos, ajuste y represión El documento cierra con fuertes críticas al rumbo económico del Gobierno nacional, al que acusan de favorecer a grandes empresas en detrimento de la población. Leer más",represión,1
2026-04-30,2026-W18,provincial,LA VOZ DEL INTERIOR,Córdoba,Centro,Córdoba,https://www.lavoz.com.ar,"Protesta. La CGT marchó a Plaza de Mayo contra la reforma laboral: ""Vamos a profundizar los conflictos"", advirtieron",protesta,1
2026-04-30,2026-W18,provincial,EL DIARIO,Entre Ríos,Centro,Entre rios,https://www.eldiario.com.ar,El Superior Tribunal descuenta sueldos por paros: AJER frena la protesta,protesta,1
2026-04-30,2026-W18,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,"La CGT llamó a ponerle ""un límite"" a Javier Milei en la marcha por el Día del Trabajador",marcha,1
2026-04-30,2026-W18,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,Personal de salud reclamó por salarios y denunciaron sobrecarga laboral: las notas elevadas al ministro Daniel Blanzaco,reclamo,1
2026-04-30,2026-W18,provincial,AIRE DIGITAL,Santa Fe,Centro,Santa Fe,https://www.airedesantafe.com.ar,Conflicto en Correo Argentino: reincorporan despedidos y se levanta el paro,paro,1
2026-04-30,2026-W18,provincial,AIRE DIGITAL,Santa Fe,Centro,Santa Fe,https://www.airedesantafe.com.ar,La historia de los Mártires de Chicago: la protesta que terminó en tragedia y dio origen al 1° de mayo,protesta,1
2026-04-30,2026-W18,provincial,HUARPE,San Juan,Cuyo,San Juan,https://www.diariohuarpe.com,La CGT marcha a la Plaza de Mayo contra el Gobierno y la reforma laboral,marcha,1
2026-04-30,2026-W18,provincial,HUARPE,San Juan,Cuyo,San Juan,https://www.diariohuarpe.com,Reclamo indígena en la ONU por el agua y la consulta previa,reclamo,1
2026-04-30,2026-W18,provincial,DIARIO DE LA REPÚBLICA,San Luis,Cuyo,San Luis,https://www.eldiariodelarepublica.com,Un reclamo que directivos se negaron a oir,reclamo,1
2026-04-30,2026-W18,provincial,EL CHORRILLERO,San Luis,Cuyo,San Luis,https://www.elchorrillero.com,La CGT marchó por el Día del Trabajador y por ahora evita convocar a otro paro general,paro,1
2026-04-30,2026-W18,provincial,VILLA MERCEDES INFO,San Luis,Cuyo,Villa Mercedes,https://www.villamercedes.info,San Luis: un jubilado electrodependiente denunció corte de luz por error y protagonizó un tenso reclamo en EDESAL,reclamo,1
2026-04-30,2026-W18,provincial,EL TRIBUNO,Jujuy,NOA,San Salvador de Jujuy,https://www.eltribunodejujuy.com,Marcha por los derechos de las personas con discapacidad,marcha,1
2026-04-30,2026-W18,provincial,PREGÓN,Jujuy,NOA,San Salvador de Jujuy,https://www.pregon.com.ar,Cómo quedó el vínculo entre el Gobierno y la CGT tras una nueva protesta,protesta,1
2026-04-30,2026-W18,provincial,EL INDEPENDIENTE,La Rioja,NOA,La Rioja,https://www.elindependiente.com.ar,Convocan a una marcha por el Día del Animal en Chilecito,marcha,1
2026-04-30,2026-W18,provincial,NUEVA RIOJA,La Rioja,NOA,La Rioja,https://www.nuevarioja.com.ar,"La CGT llamó a ponerle “un límite"" al Gobierno de Milei en la marcha por el Día del Trabajador",marcha,1
2026-04-30,2026-W18,provincial,NUEVA RIOJA,La Rioja,NOA,La Rioja,https://www.nuevarioja.com.ar,Nueva protesta de la CGT en rechazo al ajuste del Gobierno Nacional,protesta,1
2026-04-30,2026-W18,provincial,EL TRIBUNO,Salta,NOA,Salta,https://www.eltribuno.com,"La CGT llamó a ponerle “un límite"" al Gobierno de Milei en la marcha por el Día del Trabajador",marcha,1
